date,spot,option_value,delta,gamma,vega,theta,implied_vol,hedge_units,hedge_value,cash,nav,total_pnl,option_pnl,hedge_pnl,delta_attr,gamma_attr,vega_attr,theta_attr
2024-02-09,149.315,3542799.038363775,664805.4750702891,157852.53641536078,17835720.3927589,-22562.05650287363,0.08808577571711053,-664805.4750702891,-99265429.51012021,96438882.88742164,716252.4156651944,-111592.50914160907,-114717.89437713334,3125.385235539287,-3125.385235539287,1.9622024692195001,-94679.90099095336,-27260.028953632238
2024-02-12,149.345,3507763.3545763157,713877.3450643254,152608.0810877237,14875701.987714535,-20709.78642860319,0.08862146452815277,-713877.3450643254,-106614012.09863167,103767521.31168099,661272.5676256418,-54979.84803956747,-35035.68378745904,-19944.16425210943,19944.16425210943,71.03364138691774,9554.395851278843,-22562.05650287363
2024-02-13,150.805,4752241.15404632,858589.1523537852,84437.7555689785,8683305.07348499,-5477.355689043012,0.09708694595161088,-858589.1523537852,-129479537.1207126,125590785.40996799,863489.4433017224,202216.87567608058,1244477.7994700046,-1042260.9237939208,1042260.9237939208,162649.6928232977,125929.97883789631,-20709.78642860319
2024-02-14,150.565,4492705.771011898,875409.9718392425,84006.16384939922,7616541.489324985,-2048.8766888449827,0.09123710237131297,-875409.9718392425,-131806102.40997554,128123412.09579585,810015.4568322152,-53473.98646950722,-259535.38303442206,206061.39656491627,-206061.39656491627,2431.8073603867647,-50795.97643989448,-5477.355689043012
2024-02-15,149.92,3897389.449823734,846728.7876882334,107536.35765225982,8646602.276137564,-6053.9034536985955,0.08705077035021024,-846728.7876882334,-126941579.85021995,123823528.96787657,779338.5674803555,-30676.889351844788,-595316.3211881644,564639.4318363203,-564639.4318363203,17474.332157723707,-31885.371526818675,-2048.8766888449827
2024-02-16,150.225,4129729.450898695,911335.3863047806,76234.23971247548,5405239.459852796,4698.0490930999895,0.0819115734768088,-911335.3863047806,-136905358.40763566,133529055.24504736,753426.2883104086,-25912.27916996181,232340.00107496092,-258252.28024491697,258252.28024491697,5001.784835300959,-44436.591383071886,-6053.9034536985955
2024-02-19,150.125,4027503.822590136,972358.794408254,36504.14658451513,1745689.6694686078,16346.242621394664,0.0704075092097319,-972358.794408254,-145975364.0105391,142690194.3865813,742334.1986323297,-11092.089678108692,-102225.62830855884,91133.53863047287,-91133.53863047287,381.17119856233404,-62182.22212508658,4698.0490930999895
2024-02-20,150.005,3928831.658133758,973607.6032090371,36329.13167813007,1601903.5532327825,16221.722065788732,0.07152580278251432,-973607.6032090371,-146046008.5193716,142877521.95074278,760345.0895049274,18010.890872597694,-98672.16445637774,116683.0553289949,-116683.0553289949,262.8298554085289,1952.1935374393959,16346.242621394664
2024-02-21,150.295,4243122.812745551,969951.0959418851,37065.61902675438,1720910.8885872317,14202.244900616757,0.08335821656050904,-969951.0959418851,-145778799.9645856,142327967.19102618,792290.03918612,31944.949681162834,314291.1546117924,-282346.204930613,282346.204930613,1527.6399870652856,18954.385674290283,16221.722065788732
2024-02-22,150.525,4489653.984891025,980219.2135625407,25794.869354446553,1114830.351842338,16154.554319362076,0.08702841162694547,-980219.2135625407,-147547497.12150145,143873575.59587535,815732.4592649341,23442.42007881403,246531.1721454747,-223088.7520666512,223088.7520666512,980.3856232578084,6316.078653069586,14202.244900616757
2024-02-23,150.515,4509313.491317589,970396.2348743425,34737.724042329304,1513588.3946567166,11424.494223374682,0.100286318088458,-970396.2348743425,-146059189.29211164,142395069.9586212,845194.1578271687,29461.698562204838,19659.506426563486,9802.19213564435,-9802.19213564435,1.289743467727313,14780.316525180828,16154.554319362076
2024-02-26,150.705,4748923.5656392565,999379.9666021507,144.19629012282007,2673.311233480508,22414.522011969773,0.0744857142857143,-999379.9666021507,-150611557.86677712,146763063.24866053,900428.94752267,55234.78969550133,239610.07432166766,-184375.28462615045,184375.28462615045,627.0159189642166,-39051.49449096883,11424.494223374682
2024-02-27,150.515,4582928.5152779855,999493.850768408,254.28714869678456,4070.913029606965,21865.500011545842,0.08597643951767056,-999493.850768408,-150438816.94840693,146780204.52394477,924316.0908158123,23887.14329314232,-165995.05036127102,189882.19365443476,-189882.19365443476,2.602743036717619,30.718284843426602,22414.522011969773
2024-02-28,150.685,4775751.658404686,999710.5899014488,2.2473970093153457,24.046696714350297,21470.53534173953,0.086,-999710.5899014488,-150641390.2392998,146812863.86020702,947225.2793118954,22909.18849605322,192823.14312670007,-169913.95463064528,169913.95463064528,3.674449298669225,0.0959126744987102,21865.500011545842
2024-02-29,149.985,4096044.8686998836,999779.1211596184,303.9572124079656,2507.981125792187,22502.25747075175,0.1338779397781364,-999779.1211596184,-149951871.48712537,146823142.52096358,967315.902538091,20090.623226195574,-679706.789704802,699797.4129310028,-699797.4129310028,0.5506122672822419,1.1513062971527739,21470.53534173953
2024-03-01,150.12,2647156.15404792,-1688.6075787204318,238350.74896434494,34747544.35363818,-42734.01302369834,0.07616608904823216,1688.6075787204318,253493.76971751123,-1910649.0712837577,990000.8524816735,22684.949943572283,-1448888.7146519637,-134970.1813565394,134970.1813565394,2.769810098067213,-144.74023236513585,22502.25747075175
2024-03-04,150.525,2558923.5233516237,113706.42137494462,246020.94061966852,32788341.86361927,-42305.50840642955,0.07667696973802897,-113706.42137494462,-17115659.07746354,15459187.661966674,902452.1078547575,-87548.7446269145,-88232.63069629623,683.8860693817768,-683.8860693817768,19547.74079943845,17751.849428131864,-42734.01302369834
2024-03-05,150.045,2508503.5126722488,934.4209609788959,251813.44252691907,32432231.811285995,-46438.35075278426,0.07733640319599777,-934.4209609788959,-140205.19309007842,-1461687.1401468106,906611.1794353598,4159.0715805999935,-50420.010679374915,54579.08225997548,-54579.08225997548,28341.612359387964,21621.729656189713,-42305.50840642955
2024-03-06,149.39,2637041.9478914114,-152807.39995350403,240543.43177765145,31103276.430931777,-52128.38380504819,0.08133717781915582,152807.39995350403,22827897.479053967,-24429177.766561415,1035761.6603839621,129150.48094860383,128538.43521916261,612.0457294411779,-612.0457294411779,54017.13109005591,129754.0500029723,-46438.35075278426
2024-03-07,148.045,3037818.4915365693,-453790.043053185,206433.29159598457,25634251.94706927,-52696.00066766715,0.08271919096162651,453790.043053185,67181346.92380877,-68988153.16425368,1231012.251091659,195250.59070769325,400776.54364515794,-205525.95293746275,205525.95293746275,217574.5408357826,42985.136801446555,-52128.38380504819
